id,name,url,unit,status,province,prefecture,county,admin_level
1200000085,天津市退役军人事务局,http://tyjrswj.tj.gov.cn,天津市人民政府办公厅,正常,天津市,,,province
1200000086,天津市医疗保障局,http://ylbz.tj.gov.cn/,天津市人民政府办公厅,正常,天津市,,,province
1200000087,天津市机关事务管理局,http://jgsw.tj.gov.cn,天津市人民政府办公厅,正常,天津市,,,province
1200000088,天津市数据局,https://data.tj.gov.cn,天津市人民政府办公厅,正常,天津市,,,province
1200000089,天津市财政局,https://cz.tj.gov.cn,天津市人民政府办公厅,正常,天津市,,,province
1200000090,天津市政府采购网,https://tjgp.cz.tj.gov.cn,天津市人民政府办公厅,正常,天津市,,,province
1201010001,和平区政务网,http://www.tjhp.gov.cn,和平区人民政府,正常,天津市,天津市,和平区,county
1201020001,天津市河东区人民政府,http://www.tjhd.gov.cn,河东区人民政府,正常,天津市,天津市,河东区,county
1201030001,河西政务网,http://www.tjhx.gov.cn,河西区人民政府,正常,天津市,天津市,河西区,county
1201040001,天津市南开区人民政府,http://www.tjnk.gov.cn/,南开区人民政府,正常,天津市,天津市,南开区,county
1201050001,天津市河北区人民政府,http://www.tjhb.gov.cn,河北区人民政府办公室,正常,天津市,天津市,河北区,county
1201060001,天津市红桥区人民政府,http://www.tjhq.gov.cn/,红桥区人民政府办公室,正常,天津市,天津市,红桥区,county
1201100002,天津市东丽区人民政府门户网站,http://www.tjdl.gov.cn,天津市东丽区人民政府,正常,天津市,天津市,东丽区,county
1201110001,西青区政府门户网站,http://www.tjxq.gov.cn/,西青区人民政府办公室,正常,天津市,天津市,西青区,county
1201120001,天津市津南区人民政府,http://www.tjjn.gov.cn,天津市津南区人民政府,正常,天津市,天津市,津南区,county
1201130001,天津·北辰,http://www.tjbc.gov.cn/,北辰区人民政府,正常,天津市,天津市,北辰区,county
1201140001,武清政务网,https://www.tjwq.gov.cn/,武清区人民政府办公室,正常,天津市,天津市,武清区,county
1201150008,天津市宝坻区人民政府,http://www.tjbd.gov.cn,宝坻区人民政府,正常,天津市,天津市,宝坻区,county
1201160001,天津市滨海新区人民政府网,http://www.tjbh.gov.cn,天津市滨海新区人民政府办公室,正常,天津市,天津市,滨海新区,county
1201160007,天津市滨海新区教育体育局网站,http://jtj.tjbh.gov.cn/,滨海新区教育体育局,正常,天津市,天津市,滨海新区,county
1201160009,天津港保税区 中国（天津）自由贸易试验区天津机场片区,www.tjftz.gov.cn,天津港保税区管理委员会办公室,正常,天津市,天津市,滨海新区,county
1201160010,中新天津生态城门户网站,www.eco-city.gov.cn,中新天津生态城管理委员会办公室,正常,天津市,天津市,滨海新区,county
1201160016,天津市滨海新区人民政府生态环境局网站,http://sthjj.tjbh.gov.cn/,滨海新区生态环境局,正常,天津市,天津市,滨海新区,county
1201160017,天津市滨海新区人力社保局网站,http://rsj.tjbh.gov.cn/,滨海新区人力资源和社会保障局,正常,天津市,天津市,滨海新区,county
1201160018,中国（天津）自由贸易试验区官网,http://www.china-tjftz.gov.cn,中国（天津）自由贸易试验区管理委员会办公室,正常,天津市,天津市,滨海新区,county
1201160022,天津市滨海新区人民政府司法局网站,http://sfj.tjbh.gov.cn/,天津市滨海新区司法局,正常,天津市,天津市,滨海新区,county
1201160029,天津市滨海新区统计局网站,http://tjj.tjbh.gov.cn/,滨海新区统计局,正常,天津市,天津市,滨海新区,county
1201160030,天津市滨海新区财政局网站,http://czj.tjbh.gov.cn,滨海新区财政局,正常,天津市,天津市,滨海新区,county
1201160033,天津东疆综合保税区,https://www.dongjiang.gov.cn,天津东疆综合保税区党建工作部,正常,天津市,天津市,滨海新区,county
1201160034,天津市滨海新区国资委网站,http://gzw.tjbh.gov.cn/,滨海新区国有资产监督管理委员会,正常,天津市,天津市,滨海新区,county
1201160038,天津市滨海新区住房和建设委员会网站,http://zjw.tjbh.gov.cn/,滨海新区住房和建设委员会,正常,天津市,天津市,滨海新区,county
1201160041,天津市滨海新区商务和投资促进局网站,scj.tjbh.gov.cn,滨海新区商务和投资促进局,正常,天津市,天津市,滨海新区,county
1201160042,天津滨海新区民政局,http://mzj.tjbh.gov.cn/,滨海新区民政局,正常,天津市,天津市,滨海新区,county
1201160043,天津市滨海新区卫生健康委员会网站,http://wjw.tjbh.gov.cn/,滨海新区卫生和计划生育委员会,正常,天津市,天津市,滨海新区,county
1201160047,天津市滨海新区公安局网站,http://gaj.tjbh.gov.cn/,滨海新区公安局,正常,天津市,天津市,滨海新区,county
1201160049,滨海新区人民政府政务服务办公室网站,http://zwb.tjbh.gov.cn/,天津市滨海新区政府政务服务办公室,例外,天津市,天津市,滨海新区,county
1201160051,天津市滨海新区文化和旅游局网站,http://wlj.tjbh.gov.cn/,天津市滨海新区文化和旅游局,正常,天津市,天津市,滨海新区,county
1201160056,天津市滨海新区发改委网站,http://fgw.tjbh.gov.cn/,滨海新区发展和改革委员会,正常,天津市,天津市,滨海新区,county
1201160057,天津市滨海新区人民政府工业和信息化局网站,http://gxj.tjbh.gov.cn/,滨海新区工业和信息化局,正常,天津市,天津市,滨海新区,county
1201160058,天津市滨海新区应急管理局,http://yjglj.tjbh.gov.cn/,天津市滨海新区应急管理局,正常,天津市,天津市,滨海新区,county
1201160062,天津经济技术开发区管理委员会政务服务平台,https://www.teda.gov.cn,天津经济技术开发区管理委员会,正常,天津市,天津市,滨海新区,county
1201160063,天津滨海高新技术产业开发区政务网,http://www.tht.gov.cn/,天津滨海高新技术产业开发区管理委员会,正常,天津市,天津市,滨海新区,county
1201160066,天津市滨海新区农业农村委员会网站,http://nyncw.tjbh.gov.cn/,滨海新区农村工作委员会,正常,天津市,天津市,滨海新区,county
1201160067,天津市滨海新区审计局网站,http://sjj.tjbh.gov.cn/,滨海新区审计局,正常,天津市,天津市,滨海新区,county
1201160080,天津市滨海新区市场监督管理局网站,http://scjgj.tjbh.gov.cn,天津市滨海新区市场监督管理局,正常,天津市,天津市,滨海新区,county
1202210001,天津市宁河区政务网,http://www.tjnh.gov.cn,宁河区人民政府,正常,天津市,天津市,宁河区,county
1202230010,静海政务公众信息网,http://www.tjjh.gov.cn/,天津市静海区人民政府办公室,正常,天津市,天津市,静海区,county
1202250001,蓟州政务网,http://www.tjjz.gov.cn/,天津市蓟州区人民政府,正常,天津市,天津市,蓟州区,county
1300000001,河北省林业和草原局,lycy.hebei.gov.cn,河北省林业和草原局,正常,河北省,,,province
1300000002,河北省司法厅,http://sft.hebei.gov.cn,省司法厅宣传中心,正常,河北省,,,province
1300000003,河北省工业和信息化厅,gxt.hebei.gov.cn,河北省工业和信息化厅,正常,河北省,,,province
1300000004,河北省广播电视局,http://rta.hebei.gov.cn,河北省广播电视局,正常,河北省,,,province
1300000005,河北省人民政府研究室,http://yjs.hebei.gov.cn,河北省人民政府研究室,正常,河北省,,,province
1300000006,河北省统计局,http://tjj.hebei.gov.cn/,河北省统计局新闻宣传办公室,正常,河北省,,,province
1300000007,河北省民族事务委员会,http://mw.hebei.gov.cn/,河北省民族事务委员会,正常,河北省,,,province
1300000010,河北省人民政府外事办公室,http://hebwb.hebei.gov.cn,河北省人民政府外事办公室,正常,河北省,,,province
1300000011,河北省科学技术厅,https://kjt.hebei.gov.cn,河北省科学技术厅,正常,河北省,,,province
1300000012,河北省人力资源和社会保障厅,https://rst.hebei.gov.cn/,河北省人力资源和社会保障厅,正常,河北省,,,province
1300000013,河北省人民政府（中国河北）,www.hebei.gov.cn,河北省人民政府办公厅,正常,河北省,,,province
1300000014,河北省交通运输厅,http://jtt.hebei.gov.cn/index.html,河北省交通宣传中心,正常,河北省,,,province
1300000020,河北省水利厅,http://slt.hebei.gov.cn/,河北省水利厅,正常,河北省,,,province
1300000023,河北省公安厅,http://gat.hebei.gov.cn,河北省公安厅政治部宣传处,正常,河北省,,,province
1300000025,河北省住房和城乡建设厅,http://zfcxjst.hebei.gov.cn/,河北省住房和城乡建设厅,正常,河北省,,,province
1300000026,河北省应急管理厅,http://yjgl.hebei.gov.cn,河北省应急管理厅,正常,河北省,,,province
1300000027,河北省生态环境厅,https://hbepb.hebei.gov.cn/,河北省生态环境厅,正常,河北省,,,province
1300000031,河北省农业农村厅,http://nync.hebei.gov.cn/,河北省农业农村厅,正常,河北省,,,province
1300000032,河北省文化和旅游厅,http://whly.hebei.gov.cn/,河北省文化和旅游厅,正常,河北省,,,province
1300000033,河北省卫生健康委员会,http://wsjkw.hebei.gov.cn/,河北省卫生健康委员会,正常,河北省,,,province
1300000034,河北省审计厅,http://sjt.hebei.gov.cn,河北省审计厅,正常,河北省,,,province
1300000037,河北省人民政府国有资产监督管理委员会,http://hbsa.hebei.gov.cn,河北省人民政府国有资产监督管理委员会,正常,河北省,,,province
1300000038,河北省药品监督管理局,http://yjj.hebei.gov.cn,河北省药品监督管理局,正常,河北省,,,province
1300000039,河北省体育局,http://sport.hebei.gov.cn,河北省体育局,正常,河北省,,,province
1300000043,河北省粮食和物资储备局,http://lswz.hebei.gov.cn/,河北省粮食和物资储备局,正常,河北省,,,province
1300000044,河北省自然资源厅,http://zrzy.hebei.gov.cn/,河北省自然资源厅,正常,河北省,,,province
1300000045,河北省市场监督管理局,http://scjg.hebei.gov.cn/,河北省市场监督管理局宣传中心,正常,河北省,,,province
1300000047,河北省财政厅,http://czt.hebei.gov.cn/,河北省财政厅信息中心,正常,河北省,,,province
1300000048,河北省机关事务管理局,http://swj.hebei.gov.cn/,河北省机关事务管理局,正常,河北省,,,province
1300000049,河北省国防动员办公室,sgdb.hebei.gov.cn,河北省国防动员办公室,正常,河北省,,,province
1300000054,河北省教育厅,http://jyt.hebei.gov.cn/,河北省教育厅,正常,河北省,,,province
1300000057,河北省发展和改革委员会,http://hbdrc.hebei.gov.cn/,河北省发展和改革委员会,正常,河北省,,,province
1300000058,河北省商务厅,http://swt.hebei.gov.cn/,河北省商务厅,正常,河北省,,,province
1300000060,河北省民政厅,http://minzheng.hebei.gov.cn/,河北省民政厅,正常,河北省,,,province
1300000065,河北省政府采购网,http://www.ccgp-hebei.gov.cn/zfcg/,河北省政府采购办公室,正常,河北省,,,province
1300000066,河北省文物局,http://wenwu.hebei.gov.cn/,河北省文物局,正常,河北省,,,province
1300000072,河北省监狱管理局,http://jygl.hebei.gov.cn,河北省监狱管理局,正常,河北省,,,province
1300000074,河北省数据和政务服务局门户网站,http://szj.hebei.gov.cn/,河北省数据和政务服务局,正常,河北省,,,province
1300000075,河北政务服务网,http://zwfw.hebei.gov.cn/,河北省数据和政务服务局,正常,河北省,,,province
1300000076,信用河北,http://xy.hebei.gov.cn,河北省数据和政务服务局,正常,河北省,,,province
1300000079,河北省省直住房资金中心,http://szgjj.hebei.gov.cn,河北省机关事务管理局住房资金中心,正常,河北省,,,province
1300000080,河北省人民政府参事室,http://css.hebei.gov.cn,河北省人民政府,正常,河北省,,,province
1300000081,河北省医疗保障局,http://ylbzj.hebei.gov.cn,河北省医疗保障局,正常,河北省,,,province
1300000082,河北省退役军人事务厅,http://tyjrswt.hebei.gov.cn,河北省退役军人事务厅,正常,河北省,,,province
1300000083,中国（河北）自由贸易试验区,http://ftz.hebei.gov.cn,河北省商务厅,正常,河北省,,,province
1301000002,石家庄市农业农村局,http://nyncj.sjz.gov.cn/,石家庄市农业农村局,正常,河北省,石家庄市,,prefecture
1301000003,石家庄市人民政府,http://www.sjz.gov.cn/,石家庄市人民政府办公室,正常,河北省,石家庄市,,prefecture
1301000005,石家庄市文化广电和旅游局,http://wglj.sjz.gov.cn,石家庄市文化广电和旅游局,正常,河北省,石家庄市,,prefecture
1301000006,石家庄市商务局,http://swj.sjz.gov.cn,石家庄市商务局,正常,河北省,石家庄市,,prefecture
1301000009,石家庄市交通运输局,http://jtj.sjz.gov.cn,石家庄市交通运输局,正常,河北省,石家庄市,,prefecture
1301000010,中国（河北）自由贸易试验区正定片区,http://www.sjzzhbsq.gov.cn/,中国（河北）自由贸易试验区正定片区,正常,河北省,石家庄市,,prefecture
1301000011,石家庄市司法局,http://sfj.sjz.gov.cn/,石家庄市司法局,正常,河北省,石家庄市,,prefecture
1301000012,石家庄市自然资源和规划局,http://zrghj.sjz.gov.cn/,石家庄市自然资源和规划局,正常,河北省,石家庄市,,prefecture
1301000013,石家庄高新技术产业开发区管理委员会,http://www.shidz.gov.cn,石家庄高新技术产业开发区管理委员会,正常,河北省,石家庄市,,prefecture
1301000015,石家庄市民政局,http://mzj.sjz.gov.cn,石家庄市民政局,正常,河北省,石家庄市,,prefecture
1301000016,石家庄市林业局,http://lyj.sjz.gov.cn,石家庄市林业局,正常,河北省,石家庄市,,prefecture
